shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
300017,42.3918578585,-72.5254127125,50005
300017,42.3913046593,-72.5252852746,50006
300017,42.3909066231,-72.5252066303,50007
300017,42.3909066231,-72.5252066303,60001
300017,42.3898555114,-72.5249989351,60002
300017,42.3894995709,-72.5249080199,60003
300017,42.3886796833,-72.5245282414,60004
300017,42.3883058207,-72.5242926669,60005
300017,42.387946138,-72.5240054989,60006
300017,42.3878391046,-72.5238830851,60007
300017,42.3878391046,-72.5238830851,70001
300017,42.3877722781,-72.5238064853,70002
300017,42.3873441844,-72.5231887529,70003
300017,42.3871461879,-72.5229264222,70004
300017,42.3869206538,-72.5226747531,70005
300017,42.3867355859,-72.5225014776,70006
300017,42.3865471162,-72.5224021837,70007
300017,42.3863467501,-72.5224063473,70008
300017,42.3861625839,-72.5224403869,70009
300017,42.3860002039,-72.5224932874,70010
300017,42.3858047992,-72.5225567586,70011
300017,42.3857107712,-72.5223294328,70012
300017,42.3855811057,-72.5220978298,70013
300017,42.3854914138,-72.5220001354,70014
300017,42.3852543105,-72.5218149199,70015
300017,42.3850741702,-72.5217046598,70016
300017,42.384306667,-72.5212961826,70017
300017,42.3833125069,-72.5207619037,70018
300017,42.3829451478,-72.5205657131,70019
300017,42.3829451478,-72.5205657131,80001
300017,42.3828618414,-72.5205214305,80002
300017,42.3822534109,-72.5201229513,80003
300017,42.3819893253,-72.519885496,80004
300017,42.381662918,-72.5195582021,80005
300017,42.3814512922,-72.5192845823,80006
300017,42.380401799,-72.5194194237,80007
300017,42.3801131378,-72.5194776939,80008
300017,42.3800003778,-72.5195054871,80009
300017,42.3797471765,-72.5195880172,80010
300017,42.3797471765,-72.5195880172,90001
300017,42.3795792902,-72.5196430516,90002
300017,42.3792460056,-72.5197820301,90003
300017,42.3786124603,-72.5200494116,90004
300017,42.378030929,-72.5200215249,90005
300017,42.3779102326,-72.5200158769,90006
300017,42.3779102326,-72.5200158769,100001
300017,42.3775508871,-72.519998977,100002
300017,42.3771640704,-72.5199853355,100003
300017,42.3758284074,-72.5198971723,100004
300017,42.3756143873,-72.5198937207,100005
300017,42.3756583335,-72.5193011374,100006
300017,42.3756583335,-72.5193011374,110001
300017,42.3756767418,-72.5190508671,110002
300017,42.3757346343,-72.5187112951,110003
300017,42.3757684864,-72.5182973126,110004
300017,42.3758060133,-72.5168470686,110005
300017,42.3758293121,-72.5157630079,110006
300017,42.3758407124,-72.5150932839,110007
300017,42.3758734884,-72.5132432372,110008
300017,42.3758760631,-72.5129508879,110009
300017,42.3758847032,-72.512281119,110010
300017,42.3758752528,-72.5119204762,110011
300017,42.3758752528,-72.5119204762,120001
300017,42.3758744027,-72.5118923339,120002
300017,42.3758554462,-72.5115515254,120003
300017,42.3758539388,-72.5114108579,120004
300017,42.3758415419,-72.5109480168,120005
300017,42.3758345136,-72.5108109622,120006
300017,42.3758276152,-72.5106591052,120007
300017,42.3757996946,-72.5100886835,120008
300017,42.3757974233,-72.5097222344,120009
300017,42.3757670108,-72.5084966726,120010
300017,42.3757346084,-72.5074968495,120011
300017,42.3757346084,-72.5074968495,130001
300017,42.3757346084,-72.5074968495,130002
